prompt_id,rank,firm,recommendations,models,top_source_url,status,review_source_url,accessed_date,notes
discovery_consumer,3,Everybody Ventures,18,8,https://everybody.ventures/for-founders,verified,https://everybody.ventures/for-founders,2026-09-02,"Primary site states active fund status, $10M Fund I, typical $100K initial cheque, named GP and consumer-led thesis. One page summary says Pre-Seed to Series A while the FAQ limits initial investments primarily to Pre-Seed and Seed; use the FAQ detail."
discovery_consumer,4,Andreessen Horowitz,18,7,https://a16z.com/what-is-new-media/,verified,https://a16z.com/newsletter/boss-talk-with-ben-and-ali-enterprise-selling-for-technical-founders/ | https://a16z.com/preparing-to-fire-an-executive/ | https://a16z.com/what-now-board-meeting-or-bullsht/,2026-09-02,Primary firm content supports the enterprise-sales association; separate current enterprise page confirms the practice remains active. | Original source strongly supports the executive-replacement association and correct individual attribution. | Primary firm article supports the board-meeting association.
discovery_consumer,5,CreatorLed,17,7,https://www.creatorled.vc/,qualified,https://www.creatorled.vc/,2026-09-02,"Primary site identifies named founders and positions the firm around creator reach. Stage, cheque and portfolio fit require more specific evidence before making a founder-fit claim."
discovery_dev_infra,1,Heavybit,25,8,https://seedlist.com/firms/heavybit.html,verified,https://www.heavybit.com/portfolio/,2026-09-02,Primary portfolio page supports the developer-infrastructure association and provides portfolio evidence.
discovery_dev_infra,2,Schema Ventures,24,8,https://schemavc.com/,verified,https://schemavc.com/,2026-09-02,"Primary site states stage, check size, focus, named GP and portfolio."
discovery_dev_infra,3,Encoded Ventures,23,8,https://encoded.vc/,verified,https://encoded.vc/,2026-09-02,"Primary site states inception through Seed focus, typical first cheque, named founder and current fund launch date."
discovery_dev_infra,4,Varion Ventures,23,8,https://varion.vc/,verified,https://varion.vc/,2026-09-02,"Primary site states stage, geography, check size, named GP and prior investments, while distinguishing personal and prior-firm investments from the current fund."
discovery_dev_infra,5,Grayscale,6,2,https://www.linkedin.com/in/kapurnikhil,qualified,https://www.linkedin.com/company/grayscale-vc,2026-09-02,"The firm's public LinkedIn page and independent reporting support the dev-infrastructure mandate, named partners and early-stage model. The retrieved answer cited a partner's LinkedIn page rather than a stable firm source, and the firm name is easily confused with the crypto asset manager."
discovery_enterprise_ai,1,Salesforce Ventures,24,8,https://www.salesforce.com/news/stories/ventures-deploys-ai-fund/,verified,https://salesforceventures.com/sfv-2025/,2026-09-02,Primary firm review states that its $1B AI Fund was fully invested by 2025. Earlier primary announcements and company pages identify portfolio examples. Treat it as a strategic corporate venture investor rather than an independent specialist fund.
discovery_enterprise_ai,2,G2C Ventures,22,8,https://www.g2cventures.com/,qualified,https://www.g2cventures.com/,2026-09-02,"Primary site states current Enterprise AI thesis, stage, named partners and portfolio. Performance and portfolio figures explicitly include angel and syndicate activity before the current firm, so do not attribute every displayed investment or outcome to the fund itself."
discovery_enterprise_ai,3,Menlo Ventures,22,8,https://menlovc.com/focus-areas/ai/,verified,https://menlovc.com/focus-areas/ai/,2026-09-02,"Primary firm page documents current AI focus and named investments across foundation models, infrastructure, enterprise, consumer and healthcare. The firm is broader than enterprise AI alone, so narrow category claims should retain that context."
discovery_enterprise_ai,4,Glasswing Ventures,19,8,https://glasswing.vc/,verified,https://glasswing.vc/resources/enterprise-ai-adoption-framework/,2026-09-02,"Primary firm materials establish a sustained enterprise-AI thesis, proprietary operating frameworks and current portfolio activity. Use the firm's own stage and sector language when describing founder fit."
discovery_enterprise_ai,5,Swell VC,11,6,https://swell.vc/,verified,https://swell.vc/,2026-09-02,"Primary site states the stage and four investment frontiers: enterprise AI, space and defence, bio, and industrial systems. It supports enterprise-AI association while showing that the mandate is broader."
discovery_eu_biotech,1,BioGeneration Ventures,24,8,https://biogenerationventures.com/en/,verified,https://biogenerationventures.com/,2026-09-02,"Primary firm site strongly supports sector, stage and geography."
discovery_eu_biotech,2,Biovision Ventures,24,8,https://biovision.vc/,verified,https://biovision.vc/,2026-09-02,"Primary firm site states Seed to Series B stage, US and European geography and a focus on therapeutics and bio-IT, with named team and portfolio."
discovery_eu_biotech,3,Kurma Partners,23,8,https://f4.fund/firms/kurma-partners,verified,https://www.kurmapartners.com/uploads/News_PDF/Kurma-Partners/2024-10-03-PR-Kurma-Partners-Biofund-IV-closing-UK.pdf,2026-09-02,Primary firm release supports European biotech fit and a strategy spanning company creation and established businesses.
discovery_eu_biotech,4,i&i Bio,18,7,https://www.inibio.eu/,verified,https://www.inibio.eu/,2026-09-02,"Primary site states exclusive life-sciences focus, company-creation and early-stage cheque ranges, European geography, named team and current portfolio."
discovery_eu_biotech,5,V-Bio Ventures,14,5,https://www.v-bio.ventures/,verified,https://www.v-bio.ventures/,2026-09-02,"Primary firm pages describe an independent firm founded in 2015, a Europe-wide remit and investments in biotechnology, pharmaceuticals, diagnostics and agricultural life sciences."
discovery_eu_defence,1,Archangel,24,8,https://www.archangel.partners/,verified,https://www.archangel.partners/,2026-09-02,Primary site states a €50M early-stage fund based between Estonia and the UK focused on defence-first and defence-only startups.
discovery_eu_defence,2,Keen Venture Partners,24,8,https://www.keenventurepartners.com/defence,verified,https://www.keenventurepartners.com/defence,2026-09-02,"Primary defence page states the geography, stage range and thesis, including software-led and dual-use approaches."
discovery_eu_defence,3,Gungnir Capital,22,8,https://gungnir.vc/,verified,https://gungnir.vc/,2026-09-02,"Primary site states the defence mandate, geography, stage, ticket range, named team and current portfolio. The site also says Fund I is still actively raising, which should be visible if describing fund maturity."
discovery_eu_defence,4,OMVP,22,8,https://omvp.vc/,verified,https://omvp.vc/,2026-09-02,Primary site states the mandate and shows a current defence-related portfolio.
discovery_eu_defence,5,Helantic,21,8,https://www.helantic.com/,verified,https://www.helantic.com/,2026-09-02,"Primary site states a European defence and dual-use thesis, Seed and Series A stage, €1M to €5M ticket range, named general partners and current portfolio."
discovery_eu_spinout,1,U2V,24,8,https://tech.eu/2025/12/10/u2v-launches-eur60m-fund-for-deep-tech-university-spin-offs-in-europe/,verified,https://www.u2v.vc/,2026-09-02,"Primary firm site confirms the Earlybird-X transition and deep-tech approach. The firm's public announcement describes a €60M first close and university-spinout strategy across AI, industrial technology and climate technology; distinguish predecessor track record from the new fund."
discovery_eu_spinout,2,Noctua Science Ventures,23,8,https://noctua.vc/,qualified,https://www.tuwien.at/tu-wien/aktuelles/news/tu-wien-und-speedinvest-starten-neue-spin-off-initiative-noctua-science-ventures,2026-09-02,"TU Wien confirms that it launched Noctua with Speedinvest in 2025 to finance Austrian university and research spinouts. It is a young initiative, so portfolio depth and fund maturity should not be inferred from category fit alone."
discovery_eu_spinout,3,PSV Hafnium,22,8,https://techfundingnews.com/psv-hafnium-danish-deeptech-fund-60m-close/,qualified,https://www.eif.org/files/attachments/eif-equity-fundmanagers-all-countries-dec-2025.pdf,2026-09-02,"EIF fund-manager records and the fund's regulated key-information document confirm PSV Hafnium Fund I and its manager. Independent reporting supports the €60M close and Nordic deep-tech thesis, but the retrieved source was press coverage rather than a clear current firm thesis page."
discovery_eu_spinout,4,Nordic Science Investments,21,7,https://theemergingvc.substack.com/p/matti-hautsalo-nordic-science-investments,verified,https://nordscience.fi/about/,2026-09-02,"Primary firm site states a university-spinout mandate, Pre-Seed focus, follow-on capacity, named sectors and current portfolio. Taaleri's 2026 public filing independently confirms the manager, €45M final close and more than 20 initial investments."
discovery_eu_spinout,5,IP Lab Ventures,8,5,https://iplventures.com/,verified,https://www.iplventures.com/,2026-09-02,"Primary site states its research-institution partnerships, tech-transfer model, named team and incubated companies. It presents itself as an emerging fund, so current portfolio scale is still limited."
discovery_fintech_infra,1,Caldo Ventures,24,8,https://www.caldoio.org/,needs_manual_review,https://caldoio.org/,2026-09-02,"Search found no independent footprint for the claimed firm or its named partners beyond this domain. The site claims stakes in well-known fintech companies and says its funds closed in 2019 and 2023, while the public .org registry records the domain registration on 2026-04-13. Current primary company funding pages checked for Method, Argyle and Synctera do not name Caldo among disclosed investors. A domain move remains possible, so report this as unverified rather than proven fabrication."
discovery_fintech_infra,2,EJF Ventures,24,8,https://www.ejfventures.com/,verified,https://www.ejfventures.com/,2026-09-02,"Primary site states a focus on bank technology, wealth technology, blockchain infrastructure and enterprise financial-services software, with named team and portfolio."
discovery_fintech_infra,3,Nyca Partners,24,8,https://www.nyca.com/,verified,https://www.nyca.com/,2026-09-02,Primary site supports the fintech-infrastructure association with named subcategories and portfolio evidence.
discovery_fintech_infra,4,Restive,13,6,https://www.restive.com/blog/announcing-restive-fund-iii,verified,https://www.restive.com/approach,2026-09-02,"Primary firm pages state the stage, fintech mandate, operating support and current portfolio."
discovery_fintech_infra,5,Milenny Ventures,9,6,https://milenny.com/,needs_manual_review,https://milenny.com/,2026-09-02,"The live site explicitly says Milenny is not a public or blind-pool venture fund and describes selected exposure through direct investments, SPVs and secondaries. Search found little independent evidence of a realised early-stage portfolio beyond recent articles quoting the founder. Do not present it as a conventional venture fund or infer the claimed exposure was a direct primary investment."
discovery_preseed_technical,1,Valia Ventures,22,8,https://www.valia.vc/,verified,https://www.valia.vc/,2026-09-02,Primary site states a $50K to $250K formation-stage Pre-Seed strategy alongside separate later-stage strategies. It is generalist rather than specifically technical.
discovery_preseed_technical,2,SOSV,21,8,https://sosv.com/about/,verified,https://sosv.com/about/,2026-09-02,"Primary firm pages state a deep-tech Pre-Seed strategy, investment volume, cheque size, labs and current portfolio scale."
discovery_preseed_technical,3,2048 Ventures,20,8,https://www.2048.vc/,verified,https://www.2048.vc/,2026-09-02,"Primary site states sectors, $500K to $3M cheque range, lead-investor posture and NYC and Boston focus."
discovery_preseed_technical,4,Menlo Ventures,18,7,https://menlovc.com/inception-fund/,verified,https://menlovc.com/focus-areas/ai/,2026-09-02,"Primary firm page documents current AI focus and named investments across foundation models, infrastructure, enterprise, consumer and healthcare. The firm is broader than enterprise AI alone, so narrow category claims should retain that context."
discovery_preseed_technical,5,Ardent Venture Partners,12,7,https://ardent.vc/,verified,https://ardent.vc/,2026-09-02,"Primary site states stage, current AI-native thesis, named team and portfolio. The visible site contains placeholder testimonial names in one section, so rely on the mandate and portfolio evidence rather than every marketing element."
